tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"3;3;2;1;1;2;5;5;5;5;4;5;6;7;7";"5;2;3;3;1;1;3;3;4;4;4;8;8;7;6";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"2;2;1;1;2;3;6;6;6;6;5;6;7;8;8";"6;1;2;2;1;2;4;4;5;5;5;9;9;8;7";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"1;1;1;2;3;4;7;7;7;7;6;7;8;9;9";"7;1;1;1;2;3;5;5;6;6;6;10;10;9;8";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"3;6;5;4;3;2;2;2;2;2;2;3;4;5;5";"None";22.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"2;7;6;5;4;3;1;1;2;2;3;4;5;6;6";"4;4;5;5;3;2;1;1;3;3;3;7;7;6;5";31.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00445_1.tre;"1;7;6;5;4;3;2;2;1;1;3;4;5;6;6";"3;5;6;6;4;3;3;3;1;1;2;6;6;5;4";42.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"5;7;6;6;6;6;6;6;6;3;2;2;2;1;1";"None";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"4;6;5;5;5;5;5;5;5;2;1;2;2;2;2";"None";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"4;5;4;4;4;4;4;4;4;1;1;3;3;3;3";"3;3;3;2;2;2;1;4;4;4;4;5;5;5;5";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"3;4;3;3;3;3;3;3;3;1;2;4;4;4;4";"2;4;4;3;3;3;1;3;3;3;3;4;4;4;4";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"2;3;2;2;2;3;3;3;3;2;3;5;5;5;5";"1;5;5;4;4;4;2;3;3;3;3;3;3;3;3";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"3;2;1;2;2;4;4;4;4;3;4;6;6;6;6";"None";32.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"3;1;1;3;3;5;5;5;5;4;5;7;7;7;7";"2;7;7;6;6;6;4;5;5;5;5;1;1;2;2";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"2;3;2;1;1;4;4;4;4;3;4;6;6;6;6";"2;7;7;6;6;6;4;5;5;5;5;2;2;1;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"1;4;3;3;3;2;2;2;2;2;3;5;5;5;5";"2;5;5;4;4;4;2;2;2;2;2;4;4;4;4";42.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"2;5;4;4;4;1;1;2;2;3;4;6;6;6;6";"3;6;6;5;5;5;3;1;1;2;2;5;5;5;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"2;5;4;4;4;2;2;1;1;3;4;6;6;6;6";"3;6;6;5;5;5;3;2;2;1;1;5;5;5;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"1;7;6;6;6;6;6;6;6;3;2;1;1;2;2";"4;3;3;2;1;1;2;5;5;5;5;6;6;6;6";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"8;4;3;2;1;8;8;7;6;5;4;4;4;2;1";"None";24.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"7;3;2;1;1;9;9;8;7;6;5;5;5;3;2";"6;3;3;2;1;1;3;3;4;4;4;5;8;8;7";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"6;2;1;1;2;10;10;9;8;7;6;6;6;4;3";"7;2;2;1;1;2;4;4;5;5;5;6;9;9;8";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"5;1;1;2;3;11;11;10;9;8;7;7;7;5;4";"8;1;1;1;2;3;5;5;6;6;6;7;10;10;9";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"5;5;4;3;2;7;7;6;5;4;3;3;3;1;1";"None";26.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"4;6;5;4;3;6;6;5;4;3;2;2;2;1;2";"4;5;5;4;3;2;2;2;2;2;2;3;6;6;5";42.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"4;7;6;5;4;5;5;4;3;2;1;2;2;2;3";"3;6;6;5;4;3;3;3;2;2;1;2;5;5;4";22.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"3;8;7;6;5;4;4;3;2;1;1;3;3;3;4";"2;7;7;6;5;4;4;4;3;3;1;1;4;4;3";45.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"2;9;8;7;6;3;3;2;1;1;2;4;4;4;5";"1;8;8;7;6;5;5;5;4;4;2;1;3;3;2";43.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"1;10;9;8;7;2;2;1;1;2;3;5;5;5;6";"1;9;9;8;7;6;6;6;5;5;3;2;2;2;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"2;11;10;9;8;1;1;1;2;3;4;6;6;6;7";"2;10;10;9;8;7;7;7;6;6;4;3;1;1;1";37.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF05773_1.tre;"1;7;6;5;4;6;6;5;4;3;2;1;1;2;3";"4;6;6;5;4;3;3;3;1;1;2;3;6;6;5";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"1;8;7;6;6;6;4;3;5;5;4;3;1;1;1";"4;5;5;3;2;1;1;2;3;5;5;5;7;7;6";46.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"1;7;6;5;5;5;3;2;4;4;3;2;1;2;2";"None";38.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"2;6;5;4;4;4;2;1;4;4;3;2;2;3;3";"4;5;5;3;2;2;2;1;2;4;4;4;6;6;5";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"4;5;4;3;3;3;1;1;5;5;4;3;3;4;4";"5;6;6;4;3;3;3;1;1;3;3;3;5;5;4";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"3;4;3;2;2;2;1;2;6;6;5;4;4;5;5";"6;7;7;5;4;4;4;2;1;2;2;2;4;4;3";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"4;3;2;1;2;2;2;3;7;7;6;5;5;6;6";"7;8;8;6;5;5;5;3;2;2;2;1;3;3;2";21.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"5;2;1;1;3;3;3;4;8;8;7;6;6;7;7";"8;9;9;7;6;6;6;4;3;3;3;1;2;2;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"7;1;1;2;4;4;4;5;9;9;8;7;7;8;8";"9;10;10;8;7;7;7;5;4;4;4;2;1;1;1";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"6;4;3;2;1;1;2;3;7;7;6;5;5;6;6";"7;8;8;6;5;5;5;3;2;1;1;2;4;4;3";48.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"7;7;6;5;5;5;3;2;3;3;2;1;2;3;3";"2;3;3;1;1;3;3;3;4;6;6;6;8;8;7";38.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"9;8;7;6;6;6;4;3;2;2;1;1;3;4;4";"1;2;2;1;2;4;4;4;5;7;7;7;9;9;8";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF00282_1.tre;"8;9;8;7;7;7;5;4;1;1;1;2;4;5;5";"1;1;1;2;3;5;5;5;6;8;8;8;10;10;9";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"2;6;8;8;8;8;6;6;6;5;3;2;1;1;1";"9;9;9;9;7;6;5;4;3;1;1;1;4;4;3";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Metazoa/Selections15/Trees/PQ/bootstrap50/PF02879_1.tre;"1;5;7;7;7;7;5;5;5;4;2;1;1;2;2";"8;8;8;8;6;5;4;3;2;1;2;2;3;3;2";50.0
