tree_file_name;leaf_dist;agree_with_etalon
Puzzle_filtered//PF04116_1.tre;"7;6;6;6;2;1;1;1;3;5;7;7;7;11;12;13;13;12;12;11;9;9;13;13;13;13;11;11;12;12";"None";36.8
Puzzle_filtered//PF04116_1.tre;"8;5;5;5;5;7;7;6;4;2;1;1;2;6;7;8;8;7;7;6;4;4;8;8;8;8;6;6;7;7";"8;7;7;7;7;5;6;6;5;8;8;7;6;5;6;6;5;3;1;1;1;4;5;8;8;8;8;8;8;8";94.6
Puzzle_filtered//PF04116_1.tre;"7;7;7;7;7;9;9;8;6;4;4;4;2;3;4;5;5;4;4;3;1;2;6;6;6;6;4;4;5;5";"None";40.5
Puzzle_filtered//PF04116_1.tre;"6;8;8;8;8;10;10;9;7;5;5;5;3;2;3;4;4;3;3;2;1;3;7;7;7;7;5;5;6;6";"None";18.5
Puzzle_filtered//PF04116_1.tre;"5;9;9;9;9;11;11;10;8;6;6;6;4;1;2;3;3;3;3;2;2;4;8;8;8;8;6;6;7;7";"None";17.5
Puzzle_filtered//PF04116_1.tre;"4;10;10;10;10;12;12;11;9;7;7;7;5;1;1;2;2;4;4;3;3;5;9;9;9;9;7;7;8;8";"None";25.7
Puzzle_filtered//PF04116_1.tre;"3;11;11;11;11;13;13;12;10;8;8;8;6;2;1;1;1;5;5;4;4;6;10;10;10;10;8;8;9;9";"2;9;9;9;9;7;8;8;7;12;12;11;10;9;10;10;9;7;7;8;8;4;3;4;4;4;4;1;1;2";43.0
Puzzle_filtered//PF04116_1.tre;"4;9;9;9;9;11;11;10;8;6;6;6;4;2;3;4;4;2;2;1;2;4;8;8;8;8;6;6;7;7";"None";34.0
Puzzle_filtered//PF04116_1.tre;"4;10;10;10;10;12;12;11;9;7;7;7;5;3;4;5;5;1;1;1;3;5;9;9;9;9;7;7;8;8";"9;1;1;2;2;2;5;5;4;11;11;10;9;8;9;9;8;6;6;7;7;5;6;9;9;9;9;9;9;9";77.9
Puzzle_filtered//PF04116_1.tre;"3;9;9;9;9;11;11;10;8;6;6;6;4;6;7;8;8;7;7;6;4;2;3;3;3;3;1;2;3;3";"9;8;8;8;8;6;7;7;6;4;4;3;2;1;3;3;2;2;4;5;5;5;6;9;9;9;9;9;9;9";44.2
Puzzle_filtered//PF04116_1.tre;"2;10;10;10;10;12;12;11;9;7;7;7;5;7;8;9;9;8;8;7;5;3;2;2;2;2;1;3;4;4";"10;9;9;9;9;7;8;8;7;3;3;2;1;1;4;4;3;3;5;6;6;6;7;10;10;10;10;10;10;10";36.0
Puzzle_filtered//PF04116_1.tre;"2;11;11;11;11;13;13;12;10;8;8;8;6;8;9;10;10;9;9;8;6;4;1;1;2;2;2;4;5;5";"12;11;11;11;11;9;10;10;9;1;1;1;2;3;6;6;5;5;7;8;8;8;9;12;12;12;12;12;12;12";53.0
Puzzle_filtered//PF04116_1.tre;"1;11;11;11;11;13;13;12;10;8;8;8;6;8;9;10;10;9;9;8;6;4;2;2;1;1;2;4;5;5";"None";36.1
Puzzle_filtered//PF07690_4.tre;"8;8;8;8;11;11;11;11;11;11;10;9;9;7;7;7;6;6;7;7;6;6;3;4;5;5;3;1;1;1";"1;9;9;8;7;8;9;9;8;8;5;10;10;10;10;8;8;8;7;7;6;7;7;3;3;4;5;5;1;1";77.2
Puzzle_filtered//PF07690_4.tre;"7;7;7;7;10;10;10;10;10;10;9;8;8;6;6;6;5;5;6;6;5;5;2;3;4;4;2;1;2;2";"1;8;8;7;6;7;8;8;7;7;4;9;9;9;9;7;7;7;6;6;5;6;6;2;2;3;4;4;2;2";64.8
Puzzle_filtered//PF07690_4.tre;"6;6;6;6;9;9;9;9;9;9;8;7;7;5;5;5;4;4;5;5;4;4;1;3;4;4;2;2;3;3";"2;7;7;6;5;6;7;7;6;6;3;8;8;8;8;6;6;6;5;5;4;5;5;1;2;3;4;4;3;3";51.9
Puzzle_filtered//PF07690_4.tre;"8;5;5;5;8;8;8;8;8;8;7;6;6;4;4;4;3;3;4;4;3;3;1;4;5;5;3;3;4;4";"3;6;6;5;4;5;6;6;5;5;2;7;7;7;7;5;5;5;4;4;3;4;4;1;3;4;5;5;4;4";68.9
Puzzle_filtered//PF07690_4.tre;"7;4;4;4;7;7;7;7;7;7;6;5;5;3;3;3;2;3;4;4;3;3;2;5;6;6;4;4;5;5";"None";36.8
Puzzle_filtered//PF07690_4.tre;"7;3;3;3;6;6;6;6;6;6;5;4;4;2;3;3;2;4;5;5;4;4;3;6;7;7;5;5;6;6";"None";34.7
Puzzle_filtered//PF07690_4.tre;"6;2;2;2;6;6;6;6;6;6;5;4;4;2;4;4;3;5;6;6;5;5;4;7;8;8;6;6;7;7";"None";73.5
Puzzle_filtered//PF07690_4.tre;"5;1;2;2;7;7;7;7;7;7;6;5;5;3;5;5;4;6;7;7;6;6;5;8;9;9;7;7;8;8";"None";69.5
Puzzle_filtered//PF07690_4.tre;"4;2;1;1;7;7;7;7;7;7;6;5;5;3;5;5;4;6;7;7;6;6;5;8;9;9;7;7;8;8";"None";93.5
Puzzle_filtered//PF07690_4.tre;"9;3;3;3;5;5;5;5;5;5;4;3;3;1;4;4;3;5;6;6;5;5;4;7;8;8;6;6;7;7";"None";63.6
Puzzle_filtered//PF07690_4.tre;"9;4;4;4;4;4;4;4;4;4;3;2;2;1;5;5;4;6;7;7;6;6;5;8;9;9;7;7;8;8";"5;7;7;6;5;6;7;7;6;6;3;5;5;5;5;3;3;3;2;2;2;3;3;3;5;6;7;7;6;6";60.6
Puzzle_filtered//PF07690_4.tre;"8;5;5;5;3;3;3;3;3;3;2;2;2;2;6;6;5;7;8;8;7;7;6;9;10;10;8;8;9;9";"6;8;8;7;6;7;8;8;7;7;4;4;4;4;4;2;2;2;2;2;3;4;4;4;6;7;8;8;7;7";67.2
Puzzle_filtered//PF07690_4.tre;"7;6;6;6;2;2;2;2;3;3;2;3;3;3;7;7;6;8;9;9;8;8;7;10;11;11;9;9;10;10";"None";80.1
Puzzle_filtered//PF07690_4.tre;"7;7;7;7;1;1;2;2;4;4;3;4;4;4;8;8;7;9;10;10;9;9;8;11;12;12;10;10;11;11";"None";81.0
Puzzle_filtered//PF07690_4.tre;"6;7;7;7;2;2;1;1;4;4;3;4;4;4;8;8;7;9;10;10;9;9;8;11;12;12;10;10;11;11";"9;11;11;10;9;10;11;11;10;10;7;2;2;1;1;2;4;4;5;5;6;7;7;7;9;10;11;11;10;10";77.7
Puzzle_filtered//PF07690_4.tre;"6;6;6;6;3;3;3;3;2;2;1;3;3;3;7;7;6;8;9;9;8;8;7;10;11;11;9;9;10;10";"None";96.5
Puzzle_filtered//PF07690_4.tre;"5;7;7;7;4;4;4;4;1;1;1;4;4;4;8;8;7;9;10;10;9;9;8;11;12;12;10;10;11;11";"9;11;11;10;9;10;11;11;10;10;7;1;1;2;2;2;4;4;5;5;6;7;7;7;9;10;11;11;10;10";98.3
Puzzle_filtered//PF07690_4.tre;"6;5;5;5;4;4;4;4;4;4;3;1;1;2;6;6;5;7;8;8;7;7;6;9;10;10;8;8;9;9";"6;8;8;7;6;7;8;8;7;7;4;5;5;5;5;3;3;3;1;1;3;4;4;4;6;7;8;8;7;7";88.2
Puzzle_filtered//PF07690_4.tre;"5;4;4;4;7;7;7;7;7;7;6;5;5;3;2;2;1;4;5;5;4;4;3;6;7;7;5;5;6;6";"None";86.7
Puzzle_filtered//PF07690_4.tre;"4;5;5;5;8;8;8;8;8;8;7;6;6;4;1;1;1;5;6;6;5;5;4;7;8;8;6;6;7;7";"None";71.9
Puzzle_filtered//PF07690_4.tre;"3;5;5;5;8;8;8;8;8;8;7;6;6;4;4;4;3;2;3;3;2;2;2;5;6;6;4;4;5;5";"None";95.6
Puzzle_filtered//PF07690_4.tre;"2;6;6;6;9;9;9;9;9;9;8;7;7;5;5;5;4;1;2;2;2;2;3;6;7;7;5;5;6;6";"7;2;2;1;1;4;5;5;4;4;3;10;10;10;10;8;8;8;7;7;6;7;7;5;7;8;9;9;8;8";99.5
Puzzle_filtered//PF07690_4.tre;"4;7;7;7;10;10;10;10;10;10;9;8;8;6;6;6;5;1;1;1;3;3;4;7;8;8;6;6;7;7";"8;1;1;1;2;5;6;6;5;5;4;11;11;11;11;9;9;9;8;8;7;8;8;6;8;9;10;10;9;9";99.8
Puzzle_filtered//PF07690_4.tre;"3;6;6;6;9;9;9;9;9;9;8;7;7;5;5;5;4;2;3;3;1;1;3;6;7;7;5;5;6;6";"None";98.1
Puzzle_filtered//PF07690_4.tre;"2;7;7;7;10;10;10;10;10;10;9;8;8;6;6;6;5;5;6;6;5;5;2;2;3;3;1;2;3;3";"2;8;8;7;6;7;8;8;7;7;4;9;9;9;9;7;7;7;6;6;5;6;6;2;1;2;3;3;3;3";69.6
Puzzle_filtered//PF07690_4.tre;"1;8;8;8;11;11;11;11;11;11;10;9;9;7;7;7;6;6;7;7;6;6;3;1;2;2;1;3;4;4";"3;9;9;8;7;8;9;9;8;8;5;10;10;10;10;8;8;8;7;7;6;7;7;3;1;1;2;2;4;4";67.3
Puzzle_filtered//PF07690_4.tre;"1;9;9;9;12;12;12;12;12;12;11;10;10;8;8;8;7;7;8;8;7;7;4;1;1;1;2;4;5;5";"4;10;10;9;8;9;10;10;9;9;6;11;11;11;11;9;9;9;8;8;7;8;8;4;2;1;1;1;5;5";79.3
