tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"2;3;2;1;6;6;5;6;6;5;3;4;4;3;1";"1;3;3;2;1;5;5;4;5;5;4;3;5;5;4";21.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"1;2;1;1;7;7;6;7;7;6;4;5;5;4;2";"None";28.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"1;1;1;2;8;8;7;8;8;7;5;6;6;5;3";"2;1;1;1;3;7;7;6;7;7;6;5;7;7;6";47.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"5;4;3;2;5;5;4;5;5;4;2;3;3;2;1";"2;4;4;3;1;4;4;3;4;4;3;2;4;4;3";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"4;5;4;3;4;4;3;4;4;3;1;3;3;2;2";"None";41.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"5;6;5;4;3;3;2;3;3;2;1;4;4;3;3";"3;5;5;4;2;3;3;2;3;3;2;2;4;4;3";49.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"4;7;6;5;2;2;1;3;3;2;2;5;5;4;4";"4;6;6;5;3;2;2;1;3;3;2;3;5;5;4";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"3;8;7;6;1;1;1;4;4;3;3;6;6;5;5";"None";48.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"2;7;6;5;3;3;2;2;2;1;2;5;5;4;4";"4;6;6;5;3;3;3;2;2;2;1;3;5;5;4";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"3;8;7;6;4;4;3;1;1;1;3;6;6;5;5";"None";46.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"5;5;4;3;5;5;4;5;5;4;2;2;2;1;2";"4;6;6;5;3;5;5;4;5;5;4;1;2;2;1";50.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF02854_2.tre;"4;6;5;4;6;6;5;6;6;5;3;1;1;1;3";"5;7;7;6;4;6;6;5;6;6;5;2;1;1;1";43.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"5;9;8;8;8;7;7;5;4;3;2;2;2;1;1";"5;5;1;1;2;2;2;3;5;6;8;9;9;8;8";48.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/bootstrap50/PF01569_1.tre;"5;8;7;7;7;6;6;4;3;2;1;2;2;2;2";"4;4;2;2;2;2;1;2;4;5;7;8;8;7;7";50.0
