tree_file_name;leaf_dist;agree_with_etalon
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"3;4;4;4;2;1;1;2;6;6;5;5;5;4;4";"2;2;4;4;4;4;2;1;2;3;5;6;6;5;5";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"2;3;3;3;1;1;2;3;7;7;6;6;6;5;5";"3;3;3;3;3;3;1;1;3;4;6;7;7;6;6";19.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"1;2;2;2;1;2;3;4;8;8;7;7;7;6;6";"4;4;2;2;2;2;1;2;4;5;7;8;8;7;7";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"2;1;2;2;2;3;4;5;9;9;8;8;8;7;7";"5;5;2;2;1;1;2;3;5;6;8;9;9;8;8";18.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"3;2;1;1;2;3;4;5;9;9;8;8;8;7;7";"5;5;1;1;2;2;2;3;5;6;8;9;9;8;8";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"6;7;7;7;5;4;3;2;3;3;2;2;2;2;2";"4;4;7;7;7;7;5;4;2;1;2;3;3;2;2";5.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"5;8;8;8;6;5;4;3;2;2;1;2;2;3;3";"5;5;8;8;8;8;6;5;3;2;1;2;2;2;2";20.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"4;9;9;9;7;6;5;4;1;1;1;3;3;4;4";"6;6;9;9;9;9;7;6;4;3;1;1;1;3;3";14.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF01569_1.tre;"5;8;8;8;6;5;4;3;3;3;2;1;1;3;3";"5;5;8;8;8;8;6;5;3;2;2;3;3;1;1";13.0
/HOME/indy/gcg_wif/sas/Trees/2016/ForPaper/Fungi/Selections15/Trees/PQ/jackknife20_05_NNI/PF00005_3.tre;"2;5;8;8;7;6;8;8;7;6;3;2;1;1;1";"None";10.0
